--------------------------------------
Items Info:
Item | Pocket | Buy | Sell | Description
Pamtre Berry           | Berries    | $60   | $15   | If a Pokemon holds one of these Berries and its' Sp. Atk is lowered, that stat will be restored.
Durin Berry            | Berries    | $50   | $10   | If a Pokemon holds one of these Berries and its' Sp. Def is lowered, that stat will be restored.
Watmel Berry           | Berries    | $40   | $10   | If a Pokemon holds one of these Berries and its' Speed is lowered, that stat will be restored.
Wepear Berry           | Berries    | $60   | $15   | If a Pokemon holds one of these Berries and its' Accuracy is lowered, that stat will be restored.
Bluk Berry             | Berries    | $30   | $5    | If a Pokemon holds one of these Berries and its' Evasion is lowered, that stat will be restored.
Occa Berry             | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Fire-type move, the power of that move will be weakened.
Passho Berry           | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Water-type move, the power of that move will be weakened.
Wacan Berry            | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Electric-type move, the power of that move will be weakened.
Rindo Berry            | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Grass-type move, the power of that move will be weakened.
Yache Berry            | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Ice-type move, the power of that move will be weakened.
Chople Berry           | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Fighting-type move, the power of that move will be weakened.
Kebia Berry            | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Poison-type move, the power of that move will be weakened.
Shuca Berry            | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Ground-type move, the power of that move will be weakened.
Coba Berry             | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Flying-type move, the power of that move will be weakened.
Payapa Berry           | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Psychic-type move, the power of that move will be weakened.
Tanga Berry            | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Bug-type move, the power of that move will be weakened.
Charti Berry           | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Rock-type move, the power of that move will be weakened.
Kasib Berry            | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Ghost-type move, the power of that move will be weakened.
Haban Berry            | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Dragon-type move, the power of that move will be weakened.
Colbur Berry           | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Dark-type move, the power of that move will be weakened.
Babiri Berry           | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Steel-type move, the power of that move will be weakened.
Chilan Berry           | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Normal-type move, the power of that move will be weakened.
Roseli Berry           | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Light-type move, the power of that move will be weakened.
Mysticola Berry        | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Magic-type move, the power of that move will be weakened.
Galaxeed Berry         | Berries    | $50   | $10   | If a Pokemon holding this Berry is hit with a supereffective Galactic-type move, the power of that move will be weakened.
Liechi Berry           | Berries    | $150  | $30   | If a Pokemon holds one of these Berries, its Attack stat will be boosted should it find itself in a pinch.
Ganlon Berry           | Berries    | $75   | $15   | If a Pokemon holds one of these Berries, its Defense stat will be boosted should it find itself in a pinch.
Salac Berry            | Berries    | $200  | $40   | If a Pokemon holds one of these Berries, its Speed stat will be boosted should it find itself in a pinch.
Petaya Berry           | Berries    | $150  | $30   | If a Pokemon holds one of these Berries, its Sp. Atk stat will be boosted should it find itself in a pinch.
Apicot Berry           | Berries    | $75   | $15   | If a Pokemon holds one of these Berries, its Sp. Def stat will be boosted should it find itself in a pinch.
Starf Berry            | Berries    | $500  | $200  | If a Pokemon holds one of these Berries, one of its stats will be sharply boosted should it find itself in a pinch.
Micle Berry            | Berries    | $200  | $40   | If a Pokemon holds one of these Berries, its accuracy will be boosted should it find itself in a pinch.
Lansat Berry           | Berries    | $25   | $10   | If a Pokemon holds one of these Berries, its critical-hit ratio will be boosted should it find itself in a pinch.
Custap Berry           | Berries    | $200  | $40   | If a Pokemon holds one of these Berries, it will be able to act faster in a pinch, but only for the next move.
Jaboca Berry           | Berries    | $50   | $20   | If a Pokemon holding this Berry is hit with a physical move, the attacker will also take damage.
Rowap Berry            | Berries    | $50   | $20   | If a Pokemon holding this Berry is hit with a special move, the attacker will also take damage.
Kee Berry              | Berries    | $100  | $40   | If a Pokemon holding this Berry is hit with a physical move, the holder's Defense stat will be boosted.
Maranga Berry          | Berries    | $100  | $40   | If a Pokemon holding this Berry is hit with a special move, the holder's Sp. Def stat will be boosted.
Enigma Berry           | Berries    | $50   | $25   | If a Pokemon holds one of these Berries, it will be able to regain half of its HP if it is hit with a supereffective move.
Package A              | Key Items  | --    | --    | A large industrial juicer, designed to make berries into healthy juice quickly and effectively. Belongs to one Ms. Plum.
Package B              | Key Items  | --    | --    | Contains a new state of the art frying pan, meant for a master chef. It's said to be for a Guy Eddie.
Package C              | Key Items  | --    | --    | Inside is a bunch of dog toys, and the address says it's for a place called "Poundtown".
Package D              | Key Items  | --    | --    | A Drednaw stapler, for an old friend of Robin's. Sent all the way from Galar, the deliver address is for the local warehouse.
Warehouse Key          | Key Items  | --    | --    | A key that unlocks Poppy Grove's Warehouse.
Fishing Rod            | Key Items  | --    | --    | Use when looking at water to fish! Can also press 'A' in the world to fish.
Wire Cutters           | Key Items  | --    | --    | Heavy duty wire cutters that can cut through any wire, big or small. A favorite for electricians.
Visor                  | Key Items  | --    | --    | A rainbow pair of shades that blocks 90% of harsh light.
Ice Key                | Key Items  | --    | --    | A key that unlocks Ice Master's Classroom.
Ground Key             | Key Items  | --    | --    | A key that unlocks Ground Master's Classroom.
Shovel                 | Key Items  | --    | --    | A handy tool that can shovel snowballs to clear them.
Ice Pick               | Key Items  | --    | --    | A cold metal pickaxe used for breaking blocks of ice.
Letter                 | Key Items  | --    | --    | A letter from your mother delivered by Robin. It's of urgent matter.
Rock Crystal           | Other      | $4000 | $1000 | A sharp crystal exuding Rock energy. Changes a Pokemon's power.
Fire Crystal           | Other      | $4000 | $1000 | A sharp crystal exuding Fire energy. Changes a Pokemon's power.
Water Crystal          | Other      | $4000 | $1000 | A sharp crystal exuding Water energy. Changes a Pokemon's power.
Grass Crystal          | Other      | $4000 | $1000 | A sharp crystal exuding Grass energy. Changes a Pokemon's power.
Ice Crystal            | Other      | $4000 | $1000 | A sharp crystal exuding Ice energy. Changes a Pokemon's power.
Electric Crystal       | Other      | $4000 | $1000 | A sharp crystal exuding Electric energy. Changes a Pokemon's power.
Fighting Crystal       | Other      | $4000 | $1000 | A sharp crystal exuding Fighting energy. Changes a Pokemon's power.
Poison Crystal         | Other      | $4000 | $1000 | A sharp crystal exuding Poison energy. Changes a Pokemon's power.
Ground Crystal         | Other      | $4000 | $1000 | A sharp crystal exuding Ground energy. Changes a Pokemon's power.
Flying Crystal         | Other      | $4000 | $1000 | A sharp crystal exuding Flying energy. Changes a Pokemon's power.
Psychic Crystal        | Other      | $4000 | $1000 | A sharp crystal exuding Psychic energy. Changes a Pokemon's power.
Bug Crystal            | Other      | $4000 | $1000 | A sharp crystal exuding Bug energy. Changes a Pokemon's power.
Ghost Crystal          | Other      | $4000 | $1000 | A sharp crystal exuding Ghost energy. Changes a Pokemon's power.
Dragon Crystal         | Other      | $4000 | $1000 | A sharp crystal exuding Dragon energy. Changes a Pokemon's power.
Steel Crystal          | Other      | $4000 | $1000 | A sharp crystal exuding Steel energy. Changes a Pokemon's power.
Dark Crystal           | Other      | $4000 | $1000 | A sharp crystal exuding Dark energy. Changes a Pokemon's power.
Light Crystal          | Other      | $4000 | $1000 | A sharp crystal exuding Light energy. Changes a Pokemon's power.
Magic Crystal          | Other      | $4000 | $1000 | A sharp crystal exuding Magic energy. Changes a Pokemon's power.
Galactic Crystal       | Other      | $4000 | $1000 | A sharp crystal exuding Galactic energy. Changes a Pokemon's power.
Tiny Mushroom          | Other      | --    | --    | A small and rare mushroom. It is sought after by collectors.
Big Mushroom           | Other      | --    | --    | A large and rare mushroom. It is sought after by collectors.
Nugget                 | Other      | --    | $500  | A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price.
Big Nugget             | Other      | --    | $2000 | A big nugget of pure gold that gives off a lustrous gleam. It can be sold at a very high price.
Star Piece             | Other      | --    | --    | A small shard of a beautiful gem that gives off a distinctly red sparkle. It can be sold at a high price.
Relic Gold             | Other      | --    | $2500 | A gold coin used by an ancient civilization about 3,000 years ago.
Relic Silver           | Other      | --    | $650  | A silver coin used by an ancient civilization about 3,000 years ago.
Faith Core             | Key Items  | --    | --    | A fragment of ancient energy, pulsing with quiet warmth. Said to embody the undying spirit of belief.
Logic Core             | Key Items  | --    | --    | A shard of crystallized thought, sharp and cold to the touch. It hums with the relentless force of reason.

--------------------------------------
TM Locations:
--------------------------------------
HM01 Cut               : Given to you by the Poppy Grove Warehouse owner after beating Team Eclipse Admin Rick 1
HM02 Rock Smash        : Given to you by Scott in Sicab Office (2A) after beating static Flamehox-E
HM03 Vine Cross        : Given to you by Millie in Kleine Village outside her gym after beating Cage Critter
HM04 Surf              : Given to you by the Principal of Schrice City School after beating Icy Serpant
HM05 Slow Fall         : Given to you by Grandpa in Frenco City after saving him in his house from Team Eclipse Grunts
HM06 Whirlpool         : Shadow Ravine (-3A)
HM07 Rock Climb        : Given to you by Merlin in Rawwar City outside his gym after beating Fever Dream
HM08 Lava Surf         : Given to you by Dad in New Minnow Town lab after coming back to Earth and returning his letter
TM01 Super Fang        : Given to you by Stanford after beating him
TM02 Radio Burst       : Cell Park
TM03 Arcane Spell      : Given to you by Merlin after beating him
TM04 Calm Mind         : Mindagan Lake
TM05 Body Slam         : Peaceful Park
TM06 Shadow Ball       : Shadow Ravine (1A)
TM07 Focus Blast       : Mindagan Cavern (0A)
TM08 Bulk Up           : Route 34 (1A)
TM09 Leaf Blade        : Route 25 (Need Cut)
TM10 Ice Beam          :
TM11 Psyshock          : Given to you by Mindy after beating her
TM12 Protect           : Schrice City shop
TM13 Baton Pass        : Schrice City shop
TM14 Taunt             : Energy Plant (pt. 2)
TM15 Giga Impact       : Schrice City shop
TM16 Hyper Beam        : Schrice City shop
TM17 Solar Beam        : Route 24 (pt. 1) (Need Cut)
TM18 Iron Head         : Route 39
TM19 Photon Geyser     : Route 35
TM20 Earthquake        : Shadow Path (Need Rock Climb)
TM21 Throat Chop       : Rawwar City Prize Shop (4+ Badges)
TM22 Fell Stinger      : Given to you by Millie after beating her
TM23 Weather Ball      : Schrice City shop
TM24 Terrain Pulse     : Schrice City shop
TM25 Thunderbolt       : Electric Tunnel (-3A)
TM26 Hidden Power      : Route 24 (pt. 1)
TM27 Drain Punch       : Energy Plant (pt. 2)
TM28 Flame Charge      : Route 40
TM29 Liquidation       : Mindagan Lake
TM30 U-Turn            : Peaceful Park
TM31 False Swipe       : Poppy Grove
TM32 Zing Zap          : Given to you by Photon in his lab after registering 3+ Pokemon in the E Pokedex
TM33 Psychic Fangs     : Ghostly Woods
TM34 Magic Tomb        : Shadow Ravine (-3A)
TM35 Flamethrower      : Mt. St. Joseph (3A) (Need Rock Climb)
TM36 Sludge Bomb       : Sicab City Tower (Need Surf)
TM37 Rock Tomb         : Sicab Office (1A)
TM38 Blizzard          : Rawwar City shop
TM39 Psychic           : Rawwar City Prize Shop (2+ Badges)
TM40 Facade            : Route 24 (pt. 2)
TM41 Reflect           : Glurg Town shop
TM42 Light Screen      : Glurg Town shop
TM43 Spotlight Ray     : Given to you by Rayna after beating her
TM44 Light Speed       : Route 31
TM45 Will-O-Wisp       : Frenco City shop
TM46 Fire Blast        : Rawwar City shop
TM47 Star Storm        : Mt. Splinkty (Outside)
TM48 Scald             : Route 30 (Need Surf)
TM49 Rest              : Kleine Village shop
TM50 Toxic             : Frenco City shop
TM51 Sleep Talk        : Kleine Village shop
TM52 Aerial Ace        : Given to you by Robin after beating him
TM53 Volt Switch       : Peaceful Park (Need Whirlpool)
TM54 Thunder Wave      : Frenco City shop
TM55 Disenchant        : Mt. Splinkty (1A)
TM56 Trick Tackle      : Mt. Splinkty (1A) (Need Surf)
TM57 Defog             : Control Center (Need Rock Smash)
TM58 Dragon Pulse      : Shadow Ravine (-2A) (Need Rock Climb)
TM59 Body Press        : Route 32
TM60 Freeze-Dry        : Given to you by Glacius after beating him
TM61 Scorching Sands   : Route 26
TM62 Bug Buzz          : Route 36 (Need Rock Smash)
TM63 Thunder           : Rawwar City Shop
TM64 Close Combat      : Mt. St. Joseph (3A)
TM65 Shadow Claw       : Route 42 (Need Surf)
TM66 Draco Meteor      : Iron Town somewhere
TM67 Breaking Swipe    : Rawwar City Prize Shop (1+ Badges)
TM68 Light Drain       : Energy Plant (pt. 1)
TM69 Rock Polish       : Mt. Splinkty (1A)
TM70 Hydro Pump        : Rawwar City Prize Shop (5+ Badges)
TM71 Stone Edge        : Route 34 (1A) (Need Rock Climb)
TM72 Ice Spinner       : Icy Path
TM73 Gyro Ball         : Route 45
TM74 Sunny Day         : Frenco City shop
TM75 Rain Dance        : Frenco City shop
TM76 Snowscape         : Frenco City shop
TM77 Sandstorm         : Frenco City shop
TM78 Swords Dance      : Mt. St. Joseph (3B) (Need Rock Climb)
TM79 Grassy Terrain    : Frenco City shop
TM80 Electric Terrain  : Frenco City shop
TM81 Psychic Terrain   : Frenco City shop
TM82 Sparkling Terrain : Frenco City shop
TM83 Captivate         : Route 27
TM84 Dark Pulse        : Schrice City School
TM85 Power Gem         : Frenco City
TM86 X-Scissor         : Route 29
TM87 Poison Jab        : Shadow Ravine (0A)
TM88 Galaxy Blast      : Outer Space
TM89 Acrobatics        : Cell Park
TM90 Iron Blast        : Mt. Splinkty (3A)
TM91 Tri-Attack        : Glurg Town shop
TM92 Meteor Assault    : Given to you by Nova after beating her
TM93 Earth Power       : Mt. St. Joseph (1A)
TM94 Hurricane         : Rawwar City Prize Shop (6+ Badges)
TM95 Trick Room        : Frenco City shop
TM96 Energy Ball       : Rawwar City Prize Shop (3+ Badges)
TM97 Radiant Break     : Glurg Town shop
TM98 Flip Turn         : Route 42 (Need Surf)
TM99 Return            : Route 36 (Need Cut)

--------------------------------------
Overworld Items:
(Note: the Variable Items:
- Nature Mints
- Type Resist Berries
- Stat Restoring Berries
- Treasure Chest Items
will show for only the save file you generated these docs for)
--------------------------------------


Route 22------------------------------------------

Potion (54, 45)
Pecha Berry (54, 40)
Cheri Berry (65, 40)
Glowing Prism (70, 63)

Bananaville Town----------------------------------

Antidote (9, 54)
Aspear Berry (13, 45)
Everstone (31, 41)

Route 23------------------------------------------

Pokeball (25, 31)
Pokeball (34, 13)
Repel (30, 38)
Potion (38, 31)
Pecha Berry (39, 40)
Oran Berry (30, 11)
Damaged Bulb (29, 17)

Route 42------------------------------------------

Elixir (89, 24)
TM65 Shadow Claw (89, 10)
Gentle Mint (79, 11)
PP Up (80, 18)
TM98 Flip Turn (71, 32)
Chesto Berry (59, 36)
Spelon Berry (51, 27)
Pamtre Berry (52, 11)
Oran Berry (64, 9)
Potion (57, 19)
Potion (72, 14)
Oran Berry (49, 32)
Cheri Berry (41, 20)
Chesto Berry (41, 24)
Water Stone (70, 22)
Rusty Bottle Cap (71, 9)
Power Herb (80, 16)
Mental Herb (91, 11)
Treasure Chest (44, 26)
  [Big Nugget]           |
  [Tiny Mushroom]        |
  [Lax Mint]             |
  [PP Up]                |
  [Electric Crystal]     |
  [Bottle Cap]           |
  [Star Piece]           |
  [Dusk Stone]           |
Tiny Mushroom (82, 28)
PP Max (81, 7)

New Minnow Town-----------------------------------

King's Rock (80, 62)

Bananaville Meadow--------------------------------

Fire Stone (34, 76)
Repel (23, 70)
Potion (33, 64)
Wepear Berry (41, 42)

Poppy Grove---------------------------------------

TM31 False Swipe (86, 56)
Persim Berry (70, 48)
Power Herb (87, 80)
Lansat Berry (77, 47)
Sharp Beak (41, 34)

Route 24 (pt. 1)----------------------------------

Super Potion (39, 59)
Max Elixir (39, 60)
TM26 Hidden Power (46, 73)
TM17 Solar Beam (15, 57)
Black Belt (24, 67)
Repel (9, 72)
Great Ball (9, 75)
Oran Berry (43, 80)
Bright Powder (43, 67)
Galaxeed Berry (35, 58)
Chilan Berry (13, 78)
Brave Mint (29, 47)
Treasure Chest (50, 49)
  [Bottle Cap]           |
  [Brave Mint]           |
  [PP Up]                |
  [Relic Gold]           |
  [Tiny Mushroom]        |
  [Ghost Crystal]        |
  [Thunder Scales Fossil]|
  [Star Piece]           |
  [Relic Gold]           |
  [Star Piece]           |
Iron Ball (26, 57)
Float Stone (26, 51)
Sticky Barb (19, 67)

Route 36------------------------------------------

TM99 Return (71, 29)
Bottle Cap (74, 19)
Leppa Berry (70, 16)
Shed Shell (77, 32)
Focus Sash (74, 25)
Lum Berry (44, 8)
Dawn Stone (76, 27)
Quiet Mint (53, 35)
Big Mushroom (26, 34)
Big Nugget (30, 7)
TM62 Bug Buzz (58, 24)
Rusty Bottle Cap (35, 20)
Damaged Bulb (25, 14)

Warehouse-----------------------------------------

Black Glasses (39, 42)
Potion (39, 44)
Awakening (25, 45)
Pokeball (35, 36)
Repel (32, 38)
Expert Belt (30, 51)
Paralyze Heal (33, 50)
Potion (27, 43)
Great Ball (36, 49)
Revive (41, 38)
Cleanse Tag (32, 40)

Route 24 (pt. 2)----------------------------------

Ability Capsule (91, 43)
Repel (60, 54)
Revive (61, 50)
Super Potion (57, 63)
Damaged Moss (53, 55)
Pokeball (55, 45)
Grip Claw (50, 66)
TM40 Facade (80, 53)
Silver Powder (46, 41)
Treasure Chest (51, 25)
  [Ice Stone]            |
  [Brave Mint]           |
  [Nugget]               |
  [Fire Crystal]         |
  [Star Piece]           |
  [Bottle Cap]           |
  [Big Nugget]           |
  [Max Revive]           |
Rash Mint (58, 38)
PP Max (77, 27)
Rare Candy (79, 39)
Adrenaline Orb (71, 46)

Gelb Forest (1A)----------------------------------

Great Ball (15, 64)
Euphorian Gem (40, 56)
Super Potion (40, 70)
Big Mushroom (37, 69)
Grassy Seed (30, 75)
Leaf Stone (25, 78)
Full Heal (16, 69)
Repel (26, 57)
Colbur Berry (13, 66)
Absorb Bulb (21, 75)
Grassy Seed (21, 80)
Absorb Bulb (24, 86)

Route 25------------------------------------------

TM09 Leaf Blade (11, 49)
Pokeball (32, 48)
Mirror Herb (35, 40)
Super Potion (34, 38)
Burn Heal (33, 35)
Repel (15, 34)
Revive (32, 22)
Euphorian Gem (35, 26)
Binding Band (35, 32)
Mysticola Berry (42, 37)
Occa Berry (38, 30)
Oran Berry (14, 49)

Route 26------------------------------------------

Full Heal (35, 35)
TM61 Scorching Sands (20, 48)
Freeze Heal (20, 45)
Rash Mint (35, 30)
Wide Lens (26, 8)
Ganlon Berry (43, 30)
Apicot Berry (16, 47)
Mental Herb (39, 34)
Dusk Stone (31, 8)
Serious Mint (36, 37)

Sicab City----------------------------------------

Poison Barb (10, 72)
Focus Sash (34, 73)
Red Card (28, 73)
Toxic Orb (31, 41)
Black Sludge (31, 39)
TM36 Sludge Bomb (31, 36)
Choice Band (26, 35)
Choice Specs (37, 35)

Route 45------------------------------------------

TM73 Gyro Ball (79, 25)
Repel (71, 28)
Super Potion (58, 28)
Ultra Ball (51, 8)
Room Service (80, 8)
Belue Berry (70, 35)
Treasure Chest (46, 44)
  [Star Piece]           |
  [Revive]               |
  [Star Piece]           |
  [Adamant Mint]         |
  [Tiny Mushroom]        |
  [Fire Stone]           |
  [Star Piece]           |
  [Nugget]               |
  [Magic Crystal]        |
Grassy Seed (49, 30)
Tiny Mushroom (48, 39)

Sicab River---------------------------------------

Throat Spray (69, 79)
Treasure Chest (74, 79)
  [Ability Patch]        |
  [Bottle Cap]           |
  [Big Mushroom]         |
  [Star Piece]           |
  [Relic Silver]         |
  [Big Mushroom]         |
  [Euphorian Gem]        |
  [Bold Mint]            |
  [PP Up]                |
  [Psychic Crystal]      |
Lax Mint (80, 80)
Electric Seed (72, 59)
Salac Berry (79, 63)

Energy Plant (pt. 1)------------------------------

TM68 Light Drain (29, 48)
Safety Goggles (43, 44)
Quiet Mint (41, 35)
PP Up (39, 48)
Magnet (21, 43)
Wise Glasses (43, 30)
Damaged Battery (33, 44)
Electric Seed (23, 47)
Rusty Bottle Cap (29, 32)

Energy Plant (B1F)--------------------------------

Revive (33, 39)
Paralyze Heal (25, 15)
Damaged Battery (27, 32)

Energy Plant (pt. 2)------------------------------

Focus Sash (44, 33)
Cell Battery (21, 38)
TM27 Drain Punch (22, 27)
TM14 Taunt (26, 27)
Bottle Cap (46, 28)
Potion (34, 37)
Weakness Policy (60, 41)
PP Max (60, 43)
Ice Stone (62, 43)
Blunder Policy (62, 32)
Full Restore (72, 32)
Choice Specs (77, 41)
Electric Seed (78, 42)

Sicab Office (1A)---------------------------------

TM37 Rock Tomb (45, 45)
Max Elixir (53, 36)
Hyper Potion (59, 41)
Rusty Bottle Cap (43, 53)
Repel (62, 56)

Sicab Office (2A)---------------------------------

Elixir (49, 33)
Rare Candy (43, 35)
Sparkly Seed (46, 39)
Nugget (48, 44)

Route 40------------------------------------------

TM28 Flame Charge (55, 15)
Euphorian Gem (89, 15)
Burn Heal (67, 18)
Potion (77, 14)
Rawst Berry (61, 14)
Focus Sash (50, 12)
Power Herb (52, 14)

Mt. Splinkty (1A)---------------------------------

TM69 Rock Polish (69, 84)
Hyper Potion (67, 75)
TM55 Disenchant (78, 52)
TM56 Trick Tackle (76, 43)
Light Clay (81, 57)
Heavy-Duty Boots (87, 57)
Treasure Chest (58, 50)
  [Tiny Mushroom]        |
  [Ability Patch]        |
  [Star Piece]           |
  [Sassy Mint]           |
  [Fire Stone]           |
  [Relic Gold]           |
  [Big Nugget]           |
  [Galactic Crystal]     |
Star Piece (67, 44)
Naive Mint (44, 60)
Treasure Chest (74, 38)
  [Relic Gold]           |
  [Rash Mint]            |
  [Big Mushroom]         |
  [Dragon Crystal]       |
  [Dusk Stone]           |
  [Bottle Cap]           |
  [Big Nugget]           |
  [Relic Silver]         |
  [Rare Candy]           |
Star Piece (56, 62)
Star Piece (49, 57)
Damaged Snowball (86, 59)
Ultra Ball (77, 68)
Sparkly Seed (49, 71)
Air Balloon (75, 82)
Power Herb (43, 79)
Big Nugget (52, 52)
Tiny Mushroom (43, 65)

Mt. Splinkty (2B)---------------------------------

Psychic Seed (77, 68)
Full Heal (58, 74)
Soft Sand (59, 79)
Bottle Cap (45, 84)
Super Potion (44, 70)
Mental Herb (56, 60)
Mirror Herb (66, 69)
Star Piece (50, 66)
Rusty Bottle Cap (69, 78)
Repel (78, 63)
Snowball (43, 86)
Bold Mint (60, 86)

Mt. Splinkty (3B)---------------------------------

Star Piece (62, 69)
Brave Mint (54, 69)

Mt. Splinkty (3A)---------------------------------

Enchanted Amulet (65, 68)
Rusty Bottle Cap (55, 70)
TM90 Iron Blast (58, 84)
Bottle Cap (39, 68)

Route 27------------------------------------------

Rindo Berry (18, 46)
Antidote (15, 43)
TM83 Captivate (25, 46)
Hyper Potion (52, 43)
Gold Bottle Cap (43, 37)
Dawn Stone (51, 37)
PP Up (28, 29)
Big Root (47, 48)
Watmel Berry (42, 26)
Psychic Seed (24, 39)

Cell Park-----------------------------------------

TM89 Acrobatics (78, 13)
Throat Spray (85, 19)
Great Ball (95, 27)
Rusty Bottle Cap (75, 29)
Hyper Potion (70, 23)
Ability Capsule (66, 24)
Durin Berry (79, 19)
Euphorian Gem (82, 19)
TM02 Radio Burst (84, 22)

Route 41------------------------------------------

Brave Mint (73, 65)
Impish Mint (86, 85)
Water Stone (67, 71)
Repel (89, 75)
Tiny Mushroom (89, 68)
Grassy Seed (77, 80)
Damaged Moss (75, 71)

Kleine Village------------------------------------

TM58 Dragon Pulse (75, 41)
Enigma Berry (80, 35)
Lagging Tail (91, 50)
Scope Lens (31, 41)

Route 28------------------------------------------

Focus Band (22, 6)
Nugget (38, 21)
Spell Tag (68, 11)
Wiki Berry (56, 11)
Red Card (73, 21)
Haban Berry (71, 24)
Chople Berry (75, 22)

Peaceful Park-------------------------------------

Hyper Potion (25, 80)
Repel (48, 82)
Adrenaline Orb (39, 75)
Leaf Stone (16, 76)
Max Elixir (14, 39)
Careful Mint (35, 43)
TM05 Body Slam (42, 39)
Life Orb (51, 52)
Babiri Berry (57, 56)
Wacan Berry (57, 78)
TM30 U-Turn (64, 70)
TM53 Volt Switch (72, 69)
Sparkly Seed (75, 66)

Electric Tunnel (1A)------------------------------

Paralyze Heal (10, 65)
Metal Coat (50, 56)
Rare Candy (31, 77)
Revive (46, 68)
Bottle Cap (56, 76)
Ultra Ball (62, 72)
Max Potion (65, 78)
Repel (91, 57)
Max Elixir (61, 41)
Clear Amulet (66, 41)
Damaged Battery (7, 56)
Cell Battery (30, 62)
Electric Seed (21, 77)
Star Piece (62, 62)
Damaged Battery (75, 60)
Ability Shield (61, 75)

Route 29------------------------------------------

Ultra Ball (12, 52)
Hyper Potion (21, 32)
Bold Mint (49, 56)
Full Heal (61, 28)
Euphorian Gem (54, 55)
Repel (58, 51)
Luminous Moss (66, 52)
Super Potion (68, 54)
Revive (89, 52)
TM86 X-Scissor (64, 20)
Air Balloon (33, 32)
White Herb (65, 40)
Charti Berry (83, 51)
Protective Pads (38, 47)
Zoom Lens (49, 32)

Schrice City--------------------------------------

Naive Mint (16, 34)
Hyper Potion (41, 34)
Ultra Ball (42, 46)
TM84 Dark Pulse (16, 43)
Ultra Ball (8, 45)
Loaded Dice (9, 18)
Room Service (51, 46)
Throat Spray (56, 37)
Super Potion (54, 17)
Paralyze Heal (29, 42)
Blunder Policy (31, 41)
Weakness Policy (31, 41)
Rusty Bottle Cap (28, 39)
Ice Pick (38, 39)
Eject Pack (38, 46)
Terrain Extender (32, 38)
Shovel (39, 38)
Utility Umbrella (28, 42)
Razor Claw (29, 41)

Icy Fields----------------------------------------

Never-Melt Ice (54, 24)
Damaged Snowball (40, 30)
Snowball (67, 30)
Damaged Snowball (41, 6)
Damaged Snowball (63, 7)

Route 30------------------------------------------

Ability Capsule (34, 75)
TM48 Scald (35, 77)
Careful Mint (54, 78)
Max Elixir (54, 79)
Roseli Berry (48, 67)
Eject Button (40, 73)
Damaged Bulb (39, 85)

Control Center------------------------------------

Leftovers (39, 45)
Dragon Fang (37, 35)
Muscle Band (25, 43)
TM57 Defog (35, 36)

Mindagan Lake-------------------------------------

TM29 Liquidation (15, 22)
Gold Bottle Cap (12, 9)
Revive (86, 11)
Big Mushroom (90, 12)
Max Potion (81, 28)
Gentle Mint (94, 28)
Bottle Cap (69, 43)
Luminous Moss (66, 40)
Euphorian Gem (88, 51)
Hyper Potion (86, 44)
Eject Pack (76, 62)
Dawn Stone (85, 75)
Big Nugget (42, 76)
Max Revive (18, 73)
Rare Candy (26, 63)
PP Up (7, 63)
Awakening (67, 5)
TM04 Calm Mind (90, 5)
Mental Herb (7, 35)
Water Stone (8, 25)
Star Piece (8, 14)
Adrenaline Orb (24, 22)
Custap Berry (70, 6)

Mindagan Cavern (1A)------------------------------

Modest Mint (54, 69)
Careful Mint (58, 69)
Bold Mint (60, 69)

Route 31------------------------------------------

Hasty Mint (22, 11)
TM44 Light Speed (21, 25)
Hyper Potion (28, 18)
Absorb Bulb (35, 13)
Bottle Cap (39, 11)
Max Elixir (23, 34)
Kasib Berry (17, 30)
Tiny Mushroom (44, 18)
Calm Mint (43, 28)
Kee Berry (49, 27)
Maranga Berry (50, 23)
Mirror Herb (54, 34)
Punching Glove (56, 40)

